"","uniquePairId","Species.1","Species.2","Species.1bl","Species.2bl","cost","lat","lon","tas_breadth","tas_position","pcp_breadth","pcp_position","mtn_mass","water_buffering","dispersal_ability","pair_age","distance","boundary_length","MAT_overlap","realm","landgap"
"Tinamotis_pentlandii",316,"Tinamotis_pentlandii","Tinamotis_ingoufi","Tinamotis pentlandii","Tinamotis ingoufi",1585006425.25786,-34.59444726,-68.390339755,8.28583259965911,280.492154858768,0.0000628961796780995,0.0000424535357323,0.176470588235294,0.265221878224974,34.530027325,34.9,3261348.13184946,438252.071577553,0.882422433695018,"NTNT",FALSE
"Apteryx_owenii",14,"Apteryx_owenii","Apteryx_haastii","Apteryx owenii","Apteryx haastii",18000435.2436605,-41.166666665,173.25,8.58601528523603,286.476724789647,0.0000176160678275823,0.0000479778801513758,0.0377969762419006,0.873650107991361,0.1,2.16,168859.423724106,33340.3683980326,0.348476554321923,"AAAA",FALSE
"Alectoris_barbara",444,"Alectoris_barbara","Alectoris_melanocephala","Alectoris barbara","Alectoris melanocephala",236195896.308622,24.853311965,32.303846155,15.3537062329557,294.797608020612,0.0000249783592950774,0.00000800742829566043,0.039727582292849,0.139614074914869,26.796515155,5.18,3992797.41077408,811345.665050172,0.39511506732336,"ATPA",FALSE
"Polyplectron_bicalcaratum",362,"Polyplectron_bicalcaratum","Polyplectron_chalcurum","Polyplectron bicalcaratum","Polyplectron chalcurum",226012026.142011,9.7782645,98.727263245,6.42297623884431,296.07258984922,0.000109696240031681,0.0000652488632637851,0.126081582200247,0.648949320148331,17.742248465,0.79,2183074.56252591,658711.547639652,0.936482001579105,"IMIM",TRUE
"Polyplectron_malacense",175,"Polyplectron_malacense","Polyplectron_schleiermacheri","Polyplectron malacense","Polyplectron schleiermacheri",34532481.5472461,0.89251894,108.803977275,1.08191567083272,297.781550891868,0.000085223163421571,0.0000899836826031046,0.0713391739674593,0.615769712140175,16.94519021,2.62,1253911.90875224,266286.095372161,0.983160869335866,"IMIM",TRUE
"Tetrao_tetrix",986,"Tetrao_tetrix","Tetrao_mlokosiewiczi","Lyrurus tetrix","Lyrurus mlokosiewiczi",100675389.429331,50.22355,45.030866665,28.8625960774746,278.093600704182,0.0000271906622085662,0.0000241515938892342,0.0289855072463768,0.0732689210950081,32.45455086,0,1740253.029885,822899.357063331,1,"PAPA",FALSE
"Bonasa_sewerzowi",1011,"Bonasa_sewerzowi","Bonasa_bonasia","Bonasa sewerzowi","Bonasa bonasia",1374529294.44498,41.2962,112.7942,30.47555188277,272.187625215539,0.0000576241907995591,0.0000351230910640342,0.0812854442344045,0.0396975425330813,33.75616169,3.81,2995776.02038728,890696.334777111,1,"PAPA",FALSE
"Crossoptilon_auritum",260,"Crossoptilon_auritum","Crossoptilon_mantchuricum","Crossoptilon auritum","Crossoptilon mantchuricum",267739340.111931,38.022311825,108.94435484,31.0296697598338,275.903956828787,0.0000661734717744491,0.0000287501760697386,0.258382642998028,0.00493096646942801,17.0987785,0.07,679280.205955577,297953.926520632,0.698113773907286,"PAPA",FALSE
"Syrmaticus_humiae",292,"Syrmaticus_humiae","Syrmaticus_ellioti","Syrmaticus humiae","Syrmaticus ellioti",103311470.654938,24.5475,106.135,18.1085511041973,289.496240803503,0.0000831942470087509,0.0000449736256088494,0.667046750285063,0.111744583808438,29.84989792,0.01,899620.557742675,362284.507896916,1,"IMIM",FALSE
"Nothocrax_urumutum",405,"Nothocrax_urumutum","Pauxi_pauxi","Nothocrax urumutum","Pauxi pauxi",21631003.7764599,4.260864135,-70.290334665,2.4990073337971,296.911900465887,0.0000932927187272823,0.0000564158075035333,0.207547169811321,0.0540880503144654,11.1083706055,3.42,1084030.38188418,453902.735023505,1,"NTNT",FALSE
"Ortalis_cinereiceps",165,"Ortalis_cinereiceps","Ortalis_garrula","Ortalis cinereiceps","Ortalis garrula",21791433.8426688,8.268939395,-76.700757575,2.13965373813535,298.859624660714,0.000130062026110382,0.0000604321124126613,0.191780821917808,0.554171855541719,12.636791245,0.46,313875.898398416,184815.651784298,0.933231819632346,"NTNT",FALSE
"Chamaepetes_unicolor",191,"Chamaepetes_unicolor","Chamaepetes_goudotii","Chamaepetes unicolor","Chamaepetes goudotii",205318322.709497,4.35648148,-78.77685185,1.71048266351515,294.836729319487,0.000116740858477209,0.0000642294390619424,0.199248120300752,0.518796992481203,12.1152815505,2.89,1341272.74731397,664095.951296158,1,"NTNT",FALSE
"Oxyura_leucocephala",784,"Oxyura_leucocephala","Oxyura_maccoa","Oxyura leucocephala","Oxyura maccoa",506165351.546226,12.23867782,40.729970615,20.9560962828634,285.924388194923,0.0000356562820742921,0.0000209682375225826,0.321824907521578,0.162762022194821,44.71485589,2.35,9125957.79687399,1629123.51122258,0.987654052366919,"ATPA",FALSE
"Speculanas_specularis",814,"Speculanas_specularis","Amazonetta_brasiliensis","Speculanas specularis","Amazonetta brasiliensis",92423243.0559669,-38.349727335,-65.58580815,6.69369056836723,287.491117588473,0.0000631396341596259,0.0000516342350359265,0.12142152023692,0.312931885488648,37.707848715,2.62,3377568.63182234,670997.104742432,0.203436346167776,"NTNT",FALSE
"Burhinus_superciliaris",312,"Burhinus_superciliaris","Burhinus_bistriatus","Burhinus superciliaris","Burhinus bistriatus",106766970.846124,3.31711165,-79.10169903,2.86889396157796,296.483151833034,0.0000869290056680901,0.000038881806333285,0.200998751560549,0.514357053682896,43.315857555,1.16,1856384.09536702,768059.883035129,1,"NTNT",FALSE
"Gyps_fulvus",871,"Gyps_fulvus","Gyps_rueppellii","Gyps fulvus","Gyps rueppelli",437654000.168559,22.727136025,21.523154575,16.0929412524924,291.978271333768,0.0000421901454629008,0.0000203180669731987,0.0185830429732869,0,38.37692139,0.98,2819930.39481558,2480644.82780577,0.819598730935828,"ATPA",FALSE
"Melierax_poliopterus",595,"Melierax_poliopterus","Melierax_canorus","Melierax poliopterus","Melierax canorus",169969865.859179,-12.348481675,30.11766143,7.47810343285468,294.453179299493,0.0000569919727554289,0.000024689421486045,0.0330882352941176,0,38.366232015,2.9,2976861.91273511,735508.176738362,0.750133982189275,"ATAT",FALSE
"Leucopternis_albicollis",810,"Leucopternis_albicollis","Leucopternis_polionotus","Pseudastur albicollis","Pseudastur polionotus",50251882.8699446,-13.346989735,-52.92912528,4.98477430983744,295.535689903574,0.0000831936795222833,0.0000503866981773006,0.010989010989011,0,28.386899425,2.57,1973409.44233893,1296117.79987926,1,"NTNT",FALSE
"Nisaetus_bartelsi",280,"Nisaetus_bartelsi","Nisaetus_alboniger","Nisaetus bartelsi","Nisaetus alboniger",63648344.7410981,-2.839285715,105.04528061,1.31686487215847,298.617052214967,0.000091645263415347,0.0000787890300944924,0.06625,0.7125,23.60044228,1.73,987212.872688724,435328.532002411,1,"IMIM",TRUE
"Urocolius_indicus",638,"Urocolius_indicus","Colius_leucocephalus","Urocolius indicus","Colius leucocephalus",145828310.008673,-8.930636995,34.832711445,6.45901202926718,295.511572657946,0.0000654113878248486,0.0000277063026079394,0.0605686032138443,0.129789864029666,29.815693585,25.03,2373624.221176,715438.384866089,0.840849456689856,"ATAT",FALSE
"Harpactes_erythrocephalus",510,"Harpactes_erythrocephalus","Harpactes_whiteheadi","Harpactes erythrocephalus","Harpactes whiteheadi",395332212.352103,11.457142855,111.34915254,7.12893881215244,294.132802940338,0.0000771196009289579,0.0000704199346364138,0.0661764705882353,0.797794117647059,38.37123616,8.21,1764729.99852295,804827.864832018,0.95693691350606,"IMIM",TRUE
"Trogon_chionurus",761,"Trogon_chionurus","Trogon_viridis","Trogon chionurus","Trogon viridis",93063813.8518777,2.386848735,-71.935630255,2.34849518831795,297.133963426879,0.000145352112295315,0.0000846269482546807,0.202247191011236,0.0611735330836454,34.225650235,0.24,1176710.80232979,707604.250578837,1,"NTNT",FALSE
"Priotelus_temnurus",89,"Priotelus_temnurus","Priotelus_roseigaster","Priotelus temnurus","Temnotrogon roseigaster",40483943.3470108,19.665789475,-74.257894735,3.93304353360945,299.042439800814,0.0000348769846227046,0.0000257584430858483,0.0153121319199058,0.915194346289753,37.0368605,12.84,410940.20657606,182390.866719957,0.951166636314679,"NTNT",TRUE
"Pharomachrus_antisianus",215,"Pharomachrus_antisianus","Pharomachrus_fulgidus","Pharomachrus antisianus","Pharomachrus fulgidus",280898906.313673,5.484848485,-70.916666665,2.58662067383003,294.594409542173,0.0000779518349006454,0.0000456454495649777,0.206211180124224,0.156521739130435,38.974989475,0.29,1208451.96383695,740416.127785779,0.873279970482754,"NTNT",FALSE
"Merops_bulocki",776,"Merops_bulocki","Merops_bullockoides","Merops bulocki","Merops bullockoides",51388928.1262517,0.22482764,25.45048176,6.17161619460482,295.998060474739,0.0000915270578542236,0.0000413145164405209,0.06125,0,25.874208335,4.87,1592298.88001918,1005545.22393404,0.756484436179863,"ATAT",FALSE
"Todus_mexicanus",47,"Todus_mexicanus","Todus_subulatus","Todus mexicanus","Todus subulatus",2375220.22447132,18.270833335,-68.0625,3.30012355971586,298.85499247944,0.0000294025385548639,0.0000184557839807285,0.0202622169249106,0.936829558998808,15.476472115,15.44,252550.213381011,62026.6223875961,1,"NTNT",TRUE
"Alcedo_websteri",588,"Alcedo_websteri","Alcedo_azurea","Ceyx websteri","Ceyx azureus",25868610.3400169,-6.3046252,144.54596719,4.47653628437603,297.302215218419,0.0000737409360785378,0.0000775171079192614,0.109316770186335,0.696894409937888,24.218436505,1.53,992455.708923936,598816.859768288,1,"AAAA",TRUE
"Selenidera_gouldii",480,"Selenidera_gouldii","Selenidera_maculirostris","Selenidera gouldii","Selenidera maculirostris",59078217.6022725,-16.662720955,-53.441603535,5.68089164925861,295.600518024399,0.000100603494421078,0.0000543523224582032,0.015625,0,16.559743615,0.98,1533838.44075401,701103.857912415,0.234935925474494,"NTNT",FALSE
"Semnornis_frantzii",50,"Semnornis_frantzii","Semnornis_ramphastinus","Semnornis frantzii","Semnornis ramphastinus",229336774.093703,5.6,-80.075,0.964614568483892,296.425059029406,0.000131263021255625,0.0000793286173184988,0.187112763320942,0.617100371747212,14.03871817,6.61,940026.004602559,197901.854290807,0.133423338331744,"NTNT",FALSE
"Capito_maculicoronatus",109,"Capito_maculicoronatus","Capito_squamatus","Capito maculicoronatus","Capito squamatus",49772494.6078621,3.644444445,-78.03611111,1.22682832870244,296.976670491702,0.000165870960032992,0.000109378928694987,0.203241895261845,0.442643391521197,18.40868136,0.85,600151.409558055,207152.265868568,0.812689932944721,"NTNT",FALSE
"Campephilus_gayaquilensis",849,"Campephilus_gayaquilensis","Campephilus_melanoleucos","Campephilus gayaquilensis","Campephilus melanoleucos",31777894.7695974,0.447841415,-73.49892501,2.48058434647107,296.893485544314,0.000113764639166433,0.0000719832789118636,0.20273631840796,0.0920398009950249,22.01768364,1.84,1249453.58742742,769683.507645884,1,"NTNT",FALSE
"Chalcopsitta_duivenbodei",181,"Chalcopsitta_duivenbodei","Chalcopsitta_sintillata","Chalcopsitta duivenbodei","Chalcopsitta scintillata",64109562.9715359,-4.48848684,139.767269735,1.45447668279791,296.827930201535,0.000099223096204834,0.000118245695264897,0.106382978723404,0.69837296620776,40.800305965,3.5,345922.614384086,407836.713152725,1,"AAAA",FALSE
"Bolbopsittacus_lunulatus",514,"Bolbopsittacus_lunulatus","Pezoporus_occidentalis","Bolbopsittacus lunulatus","Pezoporus occidentalis",345624690.440814,-8.287904065,131.20800313,8.53922790499455,297.125231518996,0.0000651745868919688,0.0000521647148873955,0.0261519302615193,0.74719800747198,42.860894595,3.76,4915088.14109842,604709.155712781,0.965581538562548,"AAIM",TRUE
"Agapornis_nigrigenis",115,"Agapornis_nigrigenis","Agapornis_lilianae","Agapornis nigrigenis","Agapornis lilianae",12297194.1685187,-14.722222225,28.65740741,9.4213855379496,293.698414449494,0.000108409290434198,0.0000401982614097913,0.0266990291262136,0.00121359223300971,39.75992495,0.4,699216.835749122,226706.067160741,1,"ATAT",FALSE
"Eunymphicus_cornutus",12,"Eunymphicus_cornutus","Eunymphicus_uvaeensis","Eunymphicus cornutus","Eunymphicus uvaeensis",31039109.6744195,-20.583333335,165.916666665,5.94320604856158,297.145206942545,0.0000610498141990148,0.0000384054982681851,0,0.989461358313817,39.09305418,0.84,188784.256426462,71768.2246860468,1,"AAAA",TRUE
"Platycercus_caledonicus",298,"Platycercus_caledonicus","Platycercus_elegans","Platycercus caledonicus","Platycercus elegans",9305319.79642446,-38.0781471,145.077263085,9.33128105474808,287.228453641907,0.0000275824349023393,0.0000301228370500158,0.0551181102362205,0.611220472440945,42.721209385,1.53,512182.655939324,316339.06586759,0.913819786310604,"AAAA",TRUE
"Neophema_chrysogaster",203,"Neophema_chrysogaster","Neophema_pulchella","Neophema chrysogaster","Neophema pulchella",30538067.5313037,-38.458333335,145.964285715,9.55947509454399,286.800515487045,0.0000332485776194727,0.0000336020104503536,0.0558823529411765,0.638235294117647,45.24398336,1.25,905875.996286287,220792.890738013,0.86772942261952,"AAAA",TRUE
"Alisterus_scapularis",345,"Alisterus_scapularis","Alisterus_chloropterus","Alisterus scapularis","Alisterus chloropterus",165546911.68074,-17.109872255,145.20125504,6.58782820560935,293.122825554149,0.000072176502750341,0.0000768800220622837,0.003584229390681,0.547192353643967,43.645542215,2.69,2607915.84611079,793685.51237224,0.717341613259832,"AAAA",TRUE
"Psittacula_calthropae",85,"Psittacula_calthropae","Psittacula_columboides","Psittacula calthrapae","Psittacula columboides",46232341.7206689,9.42105263,78.57894737,3.25649025017121,298.932473722415,0.00016507448658107,0.0000714504904175472,0.0419753086419753,0.760493827160494,45.622258745,2.76,758085.266440493,219980.2335452,1,"IMIM",TRUE
"Anodorhynchus_leari",469,"Anodorhynchus_leari","Anodorhynchus_hyacinthinus","Anodorhynchus leari","Anodorhynchus hyacinthinus",19072700.1143327,-10.612290865,-43.741634495,4.93951425876617,297.149985481291,0.0000937135219179214,0.0000438182055406663,0.0626535626535627,0.0614250614250614,30.798540155,4.06,851100.608437617,362293.138190292,1,"NTNT",FALSE
"Pyrrhura_lepida",364,"Pyrrhura_lepida","Pyrrhura_perlata","Pyrrhura lepida","Pyrrhura perlata",7009408.11711791,-5.241798945,-54.23796296,3.32247812281643,297.922611585135,0.000144842601517857,0.000070104612966093,0.00881612090680101,0.0163727959697733,33.384036615,0.91,709234.018498272,337483.993520789,1,"NTNT",FALSE
"Pyrrhura_molinae",455,"Pyrrhura_molinae","Pyrrhura_frontalis","Pyrrhura molinae","Pyrrhura frontalis",38477342.8434825,-21.410281935,-56.680670595,6.96095132987405,294.278035743709,0.0000836718160239487,0.0000482735205102691,0.0514018691588785,0,39.65515418,1.58,990097.558878622,432234.125257321,1,"NTNT",FALSE
"Pyrrhura_hoffmanni",25,"Pyrrhura_hoffmanni","Pyrrhura_rhodocephala","Pyrrhura hoffmanni","Pyrrhura rhodocephala",437744758.254133,8.75,-76.5625,2.44738255277156,297.413396417207,0.0000867295762517944,0.0000386540898348929,0.188585607940447,0.574441687344913,39.44915939,1.76,1141550.18363957,76151.3556059419,0.519440605283676,"NTNT",FALSE
"Pyrilia_haematotis",217,"Pyrilia_haematotis","Pyrilia_pulchra","Pyrilia haematotis","Pyrilia pulchra",66822503.6324486,7.15241228,-78.81825658,2.46628195336061,297.086495726082,0.000123975322404421,0.0000878276357661625,0.19106699751861,0.600496277915633,35.99004865,4.69,562437.172580206,322592.962791948,1,"NTNT",FALSE
"Pyrilia_barrabandi",533,"Pyrilia_barrabandi","Pyrilia_pyrilia","Pyrilia barrabandi","Pyrilia pyrilia",22109320.4887663,2.57761447,-71.623459585,2.57613484596529,296.505701810195,0.000131028747182119,0.0000749676715243777,0.201995012468828,0.0486284289276808,38.58650316,4.52,1143190.5073787,499384.811853369,0.964892760713052,"NTNT",FALSE
"Pionus_senilis",252,"Pionus_senilis","Pionus_chalcopterus","Pionus senilis","Pionus chalcopterus",134963149.165435,6.97380952,-82.15654762,3.39689602865635,295.575137804427,0.000101408732215677,0.0000669380703746456,0.12453300124533,0.748443337484433,36.270227885,1.84,1631369.47727889,450677.038130403,0.93168589707182,"NTNT",FALSE
"Amazona_rhodocorytha",154,"Amazona_rhodocorytha","Amazona_dufresniana","Amazona rhodocorytha","Amazona dufresniana",113008248.509876,-6.243421055,-47.414473685,4.4420168498589,296.205904949183,0.0000696500435500922,0.0000360888357154755,0.0174346201743462,0.123287671232877,30.14538338,1.38,3128390.64536276,254537.690708666,0.782366948485183,"NTNT",FALSE
"Amazona_tucumana",60,"Amazona_tucumana","Amazona_pretrei","Amazona tucumana","Amazona pretrei",236989014.920682,-27.654166665,-59,9.06260373547929,288.949837982799,0.000102245802788862,0.0000664683686589499,0.0851769911504425,0.0176991150442478,32.35464333,2.05,1195131.39551572,135541.871221769,0.214749738029095,"NTNT",FALSE
"Alipiopsitta_xanthops",489,"Alipiopsitta_xanthops","Graydidascalus_brachyurus","Alipiopsitta xanthops","Graydidascalus brachyurus",43788895.5318391,-8.60383169,-60.252935225,4.00849231106254,297.493213669611,0.000105968699203902,0.0000559549541371293,0.00246913580246914,0,30.36776305,10.65,1925438.83574167,901984.212526648,0.942432029485157,"NTNT",FALSE
"Triclaria_malachitacea",300,"Triclaria_malachitacea","Psilopsiagon_aurifrons","Triclaria malachitacea","Psilopsiagon aurifrons",128205533.276058,-25.935185185,-59.537037035,7.58132917330216,288.355325995251,0.0000795641487718642,0.0000482257627014462,0.133858267716535,0,37.20460194,4.44,1867769.64872215,697725.037552705,0.991879918815013,"NTNT",FALSE
"Brotogeris_jugularis",279,"Brotogeris_jugularis","Brotogeris_pyrrhoptera","Brotogeris jugularis","Brotogeris pyrrhoptera",116701124.906778,3.463383835,-78.6489899,1.85363526024444,297.12003935961,0.000118138793283967,0.0000662058238181403,0.202988792029888,0.480697384806974,41.70662468,3.05,1168937.39527585,311071.40302593,1,"NTNT",FALSE
"Cacatua_sanguinea",682,"Cacatua_sanguinea","Cacatua_ducorpsii","Cacatua sanguinea","Cacatua ducorpsii",330092077.668181,-15.00022894,147.25892857,6.79600612505695,297.555690396222,0.000065167719256304,0.000069623276418451,0.0240384615384615,0.695913461538462,33.76991533,3.68,2635701.9476729,770911.632022577,1,"AAAA",TRUE
"Cacatua_alba",62,"Cacatua_alba","Cacatua_moluccensis","Cacatua alba","Cacatua moluccensis",19961343.898835,-1.634615385,128.36923077,3.86139443145147,299.082865729983,0.0000635880273449171,0.000066667699382704,0.0474406991260924,0.873907615480649,30.171825435,4.88,278475.259952433,126154.568234846,1,"AAAA",TRUE
"Pitta_steerii",228,"Pitta_steerii","Pitta_versicolor","Pitta steerii","Pitta versicolor",326298504.706609,-4.047336065,135.242008195,5.35036167502532,296.17228128122,0.0000638478132841858,0.0000631364619416243,0.0752823086574655,0.765370138017566,14.803482305,3.16,3842791.82196265,593124.176124237,0.875162738060843,"AAIM",TRUE
