"","myrow","island","cosmopolitan","new.old","realm1red","realm2green","mydata$uniquePairId"
"1",1,0,0,0,"AA","AA",14
"2",2,1,0,0,"NT","NT",17
"3",3,0,0,0,"NT","NT",19
"4",4,1,0,0,"AA","AA",22
"5",5,0,0,0,"NT","NT",25
"6",6,0,0,0,"NT","NT",26
"7",7,1,0,0,"AA","AA",27
"8",8,0,0,0,"NT","NT",28
"9",9,0,0,0,"NT","NT",29
"10",10,0,0,0,"NT","NT",30
"11",11,0,0,0,"AA","AA",31
"12",12,1,0,0,"IM","IM",32
"13",13,0,0,0,"NT","NT",35
"14",14,0,0,0,"AA","AA",38
"15",15,0,0,0,"NT","NT",39
"16",16,0,0,0,"NT","NT",40
"17",17,1,0,0,"AA","AA",43
"18",18,0,0,0,"NT","NT",45
"19",19,1,0,0,"NT","NT",47
"20",20,0,0,0,"NT","NT",49
"21",21,0,0,0,"NT","NT",50
"22",22,1,0,0,"NT","NT",51
"23",23,0,0,0,"NT","NT",52
"24",24,0,0,0,"NT","NT",53
"25",25,0,0,0,"NT","NT",57
"26",26,0,0,0,"NT","NT",60
"27",27,0,0,0,"NT","NT",61
"28",28,1,0,0,"AA","AA",62
"29",29,0,0,0,"NT","NT",63
"30",30,0,0,0,"NT","NT",64
"31",31,1,0,0,"AA","AA",67
"32",32,0,0,0,"NT","NT",70
"33",33,1,0,0,"IM","IM",71
"34",34,0,0,0,"NT","NT",72
"35",35,1,0,0,"NT","NT",75
"36",36,1,0,0,"NT","NT",78
"37",37,0,0,0,"AT","AT",79
"38",38,0,0,0,"NT","NT",81
"39",39,1,0,0,"IM","IM",85
"40",40,0,0,0,"AT","AT",88
"41",41,1,0,0,"NT","NT",89
"42",42,0,0,0,"AA","AA",94
"43",43,0,0,0,"NT","NT",95
"44",44,0,0,0,"AT","AT",97
"45",45,0,0,0,"AT","AT",100
"46",46,0,0,0,"NT","NT",102
"47",47,0,0,0,"NT","NT",104
"48",48,0,0,0,"NT","NA",105
"49",49,0,0,0,"NT","NT",106
"50",50,0,0,0,"NT","NT",109
"51",51,0,0,0,"NT","NT",111
"52",52,0,0,0,"NT","NT",113
"53",53,0,0,0,"AT","AT",114
"54",54,0,0,0,"AT","AT",115
"55",55,0,0,0,"NT","NT",116
"56",56,0,0,0,"NT","NT",119
"57",57,0,0,0,"AT","AT",122
"58",58,1,0,0,"IM","AT",124
"59",59,0,0,0,"NT","NT",126
"60",60,0,0,0,"NT","NT",129
"61",61,0,0,0,"NT","NT",130
