myrow,island,cosmopolitan,new-old,realm1red,realm2green
1,0,0,0,AA,AA
2,1,0,0,NT,NT
3,0,0,0,NT,NT
4,1,0,0,AA,AA
5,0,0,0,NT,NT
6,0,0,0,NT,NT
7,1,0,0,AA,AA
8,0,0,0,NT,NT
9,0,0,0,NT,NT
10,0,0,0,NT,NT
11,0,0,0,AA,AA
12,1,0,0,IM,IM
13,0,0,0,NT,NT
14,0,0,0,AA,AA
15,0,0,0,NT,NT
16,0,0,0,NT,NT
17,1,0,0,AA,AA
18,0,0,0,NT,NT
19,1,0,0,NT,NT
20,0,0,0,NT,NT
21,0,0,0,NT,NT
22,1,0,0,NT,NT
23,0,0,0,NT,NT
24,0,0,0,NT,NT
25,0,0,0,NT,NT
26,0,0,0,NT,NT
27,0,0,0,NT,NT
28,1,0,0,AA,AA
29,0,0,0,NT,NT
30,0,0,0,NT,NT
31,1,0,0,AA,AA
32,0,0,0,NT,NT
33,1,0,0,IM,IM
34,0,0,0,NT,NT
35,1,0,0,NT,NT
36,1,0,0,NT,NT
37,0,0,0,AT,AT
38,0,0,0,NT,NT
39,1,0,0,IM,IM
40,0,0,0,AT,AT
41,1,0,0,NT,NT
42,0,0,0,AA,AA
43,0,0,0,NT,NT
44,0,0,0,AT,AT
45,0,0,0,AT,AT
46,0,0,0,NT,NT
47,0,0,0,NT,NT
48,0,0,0,NT,NA
49,0,0,0,NT,NT
50,0,0,0,NT,NT
51,0,0,0,NT,NT
52,0,0,0,NT,NT
53,0,0,0,AT,AT
54,0,0,0,AT,AT
55,0,0,0,NT,NT
56,0,0,0,NT,NT
57,0,0,0,AT,AT
58,1,0,0,IM,AT
59,0,0,0,NT,NT
60,0,0,0,NT,NT
61,0,0,0,NT,NT
62,0,0,0,NT,NT
63,0,0,0,AT,AT
64,1,0,0,AA,AA
65,0,0,0,NT,NT
66,0,0,0,NT,NT
67,0,0,0,NT,NT
68,0,0,0,NT,NT
69,0,0,0,NT,NT
70,0,0,0,AT,AT
71,0,0,0,PA,PA
72,0,0,0,NT,NT
73,0,0,0,NT,NT
74,0,0,0,NT,NT
75,0,0,0,NT,NT
76,0,0,0,NT,NT
77,0,0,0,NT,NT
78,1,0,0,IM,IM
79,1,0,0,IM,IM
80,0,0,0,AT,AT
81,0,0,0,AA,AA
82,0,0,0,NT,NT
83,0,0,0,NT,NT
84,0,0,0,NT,NT
85,0,0,0,AT,AT
86,1,0,0,AA,AA
87,1,0,0,AA,AA
88,0,0,0,AT,AT
89,0,0,0,IM,IM
90,0,0,0,IM,IM
91,0,0,0,NT,NT
92,0,0,0,NT,NT
93,0,0,0,NT,NT
94,0,0,0,NT,NT
95,0,0,0,NT,NT
96,0,0,0,NT,NT
97,0,0,0,AA,AA
98,0,0,0,NA,NA
99,0,0,0,NT,NT
100,1,0,0,IM,AA
101,0,0,0,NT,NT
102,0,0,0,AT,AT
103,0,0,0,NT,NT
104,0,0,0,NA,NA
105,0,0,0,AT,PA
106,0,0,0,NT,NT
107,0,0,0,AT,AT
108,1,0,0,AA,AA
109,1,0,0,IM,AT
110,1,0,0,AA,AA
111,0,0,0,PA,PA
112,0,0,0,NT,NT
113,0,0,0,AT,AT
114,1,0,0,IM,IM
115,0,0,0,AT,AT
116,0,0,0,AT,AT
117,0,0,0,NT,NT
118,1,0,0,IM,IM
119,0,0,0,NT,NT
120,0,0,0,NT,NT
121,0,0,0,NT,NT
122,0,0,0,IM,IM
123,0,0,0,NT,NT
124,0,0,0,NA,NA
125,1,0,0,AA,AA
126,0,0,0,NT,NT
127,0,0,0,AT,AT
128,0,0,0,NT,NT
129,0,0,0,NT,NT
130,0,0,0,NT,NT
131,0,0,0,NT,NT
132,0,0,0,AA,AA
133,0,0,0,IM,IM
134,0,0,0,NT,NT
135,0,0,0,IM,IM
136,0,0,0,AT,AT
137,0,0,0,AT,AT
138,0,0,0,AA,AA
