matching.btree_spp,link_sp_name,cz,BL_latin,c_name,sister_split
Abeillia abeillei,emerald-chinned-hummingbird-abeillia-abeillei,ok,Abeillia abeillei,Emerald-chinned Hummingbird,
Abroscopus albogularis,rufous-faced-warbler-abroscopus-albogularis,ok,Abroscopus albogularis,Rufous-faced Warbler,
Abroscopus schisticeps,black-faced-warbler-abroscopus-schisticeps,ok,Abroscopus schisticeps,Black-faced Warbler,
Abroscopus superciliaris,yellow-bellied-warbler-abroscopus-superciliaris,ok,Abroscopus superciliaris,Yellow-bellied Warbler,
Aburria aburri,wattled-guan-aburria-aburri,ok,Aburria aburri,Wattled Guan,
Acanthagenys rufogularis,spiny-cheeked-honeyeater-acanthagenys-rufogularis,ok,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,
Acanthidops bairdii,peg-billed-finch-acanthidops-bairdi,ok,Acanthidops bairdi,Peg-billed Finch,
Acanthisitta chloris,rifleman-acanthisitta-chloris,ok,Acanthisitta chloris,Rifleman,
Acanthiza murina,new-guinea-thornbill-acanthiza-murina,ok,Acanthiza murina,New Guinea Thornbill,
Acanthorhynchus superciliosus,western-spinebill-acanthorhynchus-superciliosus,ok,Acanthorhynchus superciliosus,Western Spinebill,
Acanthorhynchus tenuirostris,eastern-spinebill-acanthorhynchus-tenuirostris,ok,Acanthorhynchus tenuirostris,Eastern Spinebill,
Acanthornis magna,scrubtit-acanthornis-magna,ok,Acanthornis magna,Scrubtit,
Accipiter gentilis,northern-goshawk-accipiter-gentilis,ok,Accipiter gentilis,Northern Goshawk,
Accipiter meyerianus,meyers-goshawk-accipiter-meyerianus,ok,Accipiter meyerianus,Meyer's Goshawk,
Accipiter tachiro,african-goshawk-accipiter-tachiro,ok,Accipiter tachiro,African Goshawk,
Aceros cassidix,knobbed-hornbill-rhyticeros-cassidix,ok,Rhyticeros cassidix,Knobbed Hornbill,
Aceros comatus,white-crowned-hornbill-berenicornis-comatus,ok,Berenicornis comatus,White-crowned Hornbill,
Aceros corrugatus,wrinkled-hornbill-rhabdotorrhinus-corrugatus,ok,Rhabdotorrhinus corrugatus,Wrinkled Hornbill,
Aceros everetti,sumba-hornbill-rhyticeros-everetti,ok,Rhyticeros everetti,Sumba Hornbill,
Aceros leucocephalus,writhed-hornbill-rhabdotorrhinus-leucocephalus,ok,Rhabdotorrhinus leucocephalus,Writhed Hornbill,
Aceros narcondami,narcondam-hornbill-rhyticeros-narcondami,ok,Rhyticeros narcondami,Narcondam Hornbill,
Aceros nipalensis,rufous-necked-hornbill-aceros-nipalensis,ok,Aceros nipalensis,Rufous-necked Hornbill,
Aceros plicatus,papuan-hornbill-rhyticeros-plicatus,ok,Rhyticeros plicatus,Papuan Hornbill,
Aceros subruficollis,plain-pouched-hornbill-rhyticeros-subruficollis,ok,Rhyticeros subruficollis,Plain-pouched Hornbill,
Aceros undulatus,wreathed-hornbill-rhyticeros-undulatus,ok,Rhyticeros undulatus,Wreathed Hornbill,
Aceros waldeni,rufous-headed-hornbill-rhabdotorrhinus-waldeni,ok,Rhabdotorrhinus waldeni,Rufous-headed Hornbill,
Achaetops pycnopygius,rockrunner-achaetops-pycnopygius,ok,Achaetops pycnopygius,Rockrunner,
Acridotheres albocinctus,collared-myna-acridotheres-albocinctus,ok,Acridotheres albocinctus,Collared Myna,
Acridotheres cinereus,pale-bellied-myna-acridotheres-cinereus,ok,Acridotheres cinereus,Pale-bellied Myna,
Acridotheres cristatellus,crested-myna-acridotheres-cristatellus,ok,Acridotheres cristatellus,Crested Myna,
Acridotheres fuscus,jungle-myna-acridotheres-fuscus,ok,Acridotheres fuscus,Jungle Myna,
Acridotheres ginginianus,bank-myna-acridotheres-ginginianus,ok,Acridotheres ginginianus,Bank Myna,
Acridotheres tristis,common-myna-acridotheres-tristis,ok,Acridotheres tristis,Common Myna,
Acrocephalus aedon,thick-billed-warbler-arundinax-aedon,ok,Arundinax aedon,Thick-billed Warbler,
Acrocephalus agricola,paddyfield-warbler-acrocephalus-agricola,ok,Acrocephalus agricola,Paddyfield Warbler,
Acrocephalus atyphus,tuamotu-reed-warbler-acrocephalus-atyphus,ok,Acrocephalus atyphus,Tuamotu Reed-warbler,
Acrocephalus australis,australasian-reed-warbler-acrocephalus-australis,ok,Acrocephalus australis,Australasian Reed-warbler,
Acrocephalus baeticatus,common-reed-warbler-acrocephalus-scirpaceus,ok,Acrocephalus scirpaceus,Common Reed-warbler,Acrocephalus scirpaceus
Acrocephalus bistrigiceps,black-browed-reed-warbler-acrocephalus-bistrigiceps,ok,Acrocephalus bistrigiceps,Black-browed Reed-warbler,
Acrocephalus brevipennis,cape-verde-swamp-warbler-acrocephalus-brevipennis,ok,Acrocephalus brevipennis,Cape Verde Swamp-warbler,
Acrocephalus concinens,blunt-winged-warbler-acrocephalus-concinens,ok,Acrocephalus concinens,Blunt-winged Warbler,
Acrocephalus dumetorum,blyths-reed-warbler-acrocephalus-dumetorum,ok,Acrocephalus dumetorum,Blyth's Reed-warbler,
Acrocephalus familiaris,millerbird-acrocephalus-familiaris,ok,Acrocephalus familiaris,Millerbird,
Acrocephalus gracilirostris,lesser-swamp-warbler-acrocephalus-gracilirostris,ok,Acrocephalus gracilirostris,Lesser Swamp-warbler,
Acrocephalus griseldis,basra-reed-warbler-acrocephalus-griseldis,ok,Acrocephalus griseldis,Basra Reed-warbler,
Acrocephalus kerearako,cook-reed-warbler-acrocephalus-kerearako,ok,Acrocephalus kerearako,Cook Reed-warbler,
Acrocephalus melanopogon,moustached-warbler-acrocephalus-melanopogon,ok,Acrocephalus melanopogon,Moustached Warbler,
Acrocephalus newtoni,madagascar-swamp-warbler-acrocephalus-newtoni,ok,Acrocephalus newtoni,Madagascar Swamp-warbler,
Acrocephalus orinus,large-billed-reed-warbler-acrocephalus-orinus,ok,Acrocephalus orinus,Large-billed Reed-warbler,
Acrocephalus paludicola,aquatic-warbler-acrocephalus-paludicola,ok,Acrocephalus paludicola,Aquatic Warbler,
Acrocephalus palustris,marsh-warbler-acrocephalus-palustris,ok,Acrocephalus palustris,Marsh Warbler,
Acrocephalus rehsei,nauru-reed-warbler-acrocephalus-rehsei,ok,Acrocephalus rehsei,Nauru Reed-warbler,
Acrocephalus rodericanus,rodrigues-warbler-acrocephalus-rodericanus,ok,Acrocephalus rodericanus,Rodrigues Warbler,
Acrocephalus rufescens,greater-swamp-warbler-acrocephalus-rufescens,ok,Acrocephalus rufescens,Greater Swamp-warbler,
Acrocephalus schoenobaenus,sedge-warbler-acrocephalus-schoenobaenus,ok,Acrocephalus schoenobaenus,Sedge Warbler,
Acrocephalus scirpaceus,common-reed-warbler-acrocephalus-scirpaceus,ok,Acrocephalus scirpaceus,Common Reed-warbler,Acrocephalus baeticatus
Acrocephalus sechellensis,seychelles-warbler-acrocephalus-sechellensis,ok,Acrocephalus sechellensis,Seychelles Warbler,
Acrocephalus sorghophilus,streaked-reed-warbler-acrocephalus-sorghophilus,ok,Acrocephalus sorghophilus,Streaked Reed-warbler,
Acrocephalus stentoreus,clamorous-reed-warbler-acrocephalus-stentoreus,ok,Acrocephalus stentoreus,Clamorous Reed-warbler,
Acrocephalus syrinx,caroline-reed-warbler-acrocephalus-syrinx,ok,Acrocephalus syrinx,Caroline Reed-warbler,
Acrocephalus taiti,henderson-reed-warbler-acrocephalus-taiti,ok,Acrocephalus taiti,Henderson Reed-warbler,
Acrocephalus tangorum,white-browed-reed-warbler-acrocephalus-tangorum,ok,Acrocephalus tangorum,White-browed Reed-warbler,
Acrocephalus vaughani,pitcairn-reed-warbler-acrocephalus-vaughani,ok,Acrocephalus vaughani,Pitcairn Reed-warbler,
Acropternis orthonyx,ocellated-tapaculo-acropternis-orthonyx,ok,Acropternis orthonyx,Ocellated Tapaculo,
Acryllium vulturinum,vulturine-guineafowl-acryllium-vulturinum,ok,Acryllium vulturinum,Vulturine Guineafowl,
Actenoides concretus,rufous-collared-kingfisher-actenoides-concretus,ok,Actenoides concretus,Rufous-collared Kingfisher,
Actenoides hombroni,blue-capped-kingfisher-actenoides-hombroni,ok,Actenoides hombroni,Blue-capped Kingfisher,
Actenoides lindsayi,spotted-kingfisher-actenoides-lindsayi,ok,Actenoides lindsayi,Spotted Kingfisher,
Actinodura egertoni,rusty-fronted-barwing-actinodura-egertoni,ok,Actinodura egertoni,Rusty-fronted Barwing,
Actinodura morrisoniana,taiwan-barwing-sibia-morrisoniana,ok,Sibia morrisoniana,Taiwan Barwing,
Actinodura nipalensis,hoary-throated-barwing-sibia-nipalensis,ok,Sibia nipalensis,Hoary-throated Barwing,
Actinodura sodangorum,black-crowned-barwing-actinodura-sodangorum,ok,Actinodura sodangorum,Black-crowned Barwing,
Actinodura souliei,streaked-barwing-sibia-souliei,ok,Sibia souliei,Streaked Barwing,
Actinodura waldeni,streak-throated-barwing-sibia-waldeni,ok,Sibia waldeni,Streak-throated Barwing,
Actitis macularius,spotted-sandpiper-actitis-macularius,ok,Actitis macularius,Spotted Sandpiper,
Actophilornis albinucha,madagascar-jacana-actophilornis-albinucha,ok,Actophilornis albinucha,Madagascar Jacana,
Adelomyia melanogenys,speckled-hummingbird-adelomyia-melanogenys,ok,Adelomyia melanogenys,Speckled Hummingbird,
Aechmophorus clarkii,clarks-grebe-aechmophorus-clarkii,ok,Aechmophorus clarkii,Clark's Grebe,
Aechmophorus occidentalis,western-grebe-aechmophorus-occidentalis,ok,Aechmophorus occidentalis,Western Grebe,
Aegithina viridissima,green-iora-aegithina-viridissima,ok,Aegithina viridissima,Green Iora,
Aegolius acadicus,northern-saw-whet-owl-aegolius-acadicus,ok,Aegolius acadicus,Northern Saw-whet Owl,
Aegolius harrisii,buff-fronted-owl-aegolius-harrisii,ok,Aegolius harrisii,Buff-fronted Owl,
Aegotheles crinifrons,moluccan-owlet-nightjar-aegotheles-crinifrons,ok,Aegotheles crinifrons,Moluccan Owlet-nightjar,
Aegotheles cristatus,australian-owlet-nightjar-aegotheles-cristatus,ok,Aegotheles cristatus,Australian Owlet-nightjar,
Aegotheles wallacii,wallaces-owlet-nightjar-aegotheles-wallacii,ok,Aegotheles wallacii,Wallace's Owlet-nightjar,
Aegypius monachus,cinereous-vulture-aegypius-monachus,ok,Aegypius monachus,Cinereous Vulture,
Aenigmatolimnas marginalis,striped-crake-amaurornis-marginalis,ok,Amaurornis marginalis,Striped Crake,
Aepypodius arfakianus,wattled-brush-turkey-aepypodius-arfakianus,ok,Aepypodius arfakianus,Wattled Brush-turkey,
Aeronautes andecolus,andean-swift-aeronautes-andecolus,ok,Aeronautes andecolus,Andean Swift,
Aethia cristatella,crested-auklet-aethia-cristatella,ok,Aethia cristatella,Crested Auklet,
Aethia psittacula,parakeet-auklet-aethia-psittacula,ok,Aethia psittacula,Parakeet Auklet,
Aethia pusilla,least-auklet-aethia-pusilla,ok,Aethia pusilla,Least Auklet,
Aethia pygmaea,whiskered-auklet-aethia-pygmaea,ok,Aethia pygmaea,Whiskered Auklet,
Aethopyga bella,handsome-sunbird-aethopyga-bella,ok,Aethopyga bella,Handsome Sunbird,
Aethopyga duyvenbodei,elegant-sunbird-aethopyga-duyvenbodei,ok,Aethopyga duyvenbodei,Elegant Sunbird,
Aethopyga eximia,white-flanked-sunbird-aethopyga-eximia,ok,Aethopyga eximia,White-flanked Sunbird,
Aethopyga gouldiae,goulds-sunbird-aethopyga-gouldiae,ok,Aethopyga gouldiae,Gould's Sunbird,
Aethopyga ignicauda,fire-tailed-sunbird-aethopyga-ignicauda,ok,Aethopyga ignicauda,Fire-tailed Sunbird,
Aethopyga pulcherrima,metallic-winged-sunbird-aethopyga-pulcherrima,ok,Aethopyga pulcherrima,Metallic-winged Sunbird,
Aethopyga shelleyi,lovely-sunbird-aethopyga-shelleyi,ok,Aethopyga shelleyi,Lovely Sunbird,
Afropavo congensis,congo-peafowl-afropavo-congensis,ok,Afropavo congensis,Congo Peafowl,
Agamia agami,agami-heron-agamia-agami,ok,Agamia agami,Agami Heron,
Agapornis canus,grey-headed-lovebird-agapornis-canus,ok,Agapornis canus,Grey-headed Lovebird,
Agapornis fischeri,fischers-lovebird-agapornis-fischeri,ok,Agapornis fischeri,Fischer's Lovebird,
Agapornis lilianae,nyasa-lovebird-agapornis-lilianae,ok,Agapornis lilianae,Nyasa Lovebird,
Agapornis nigrigenis,black-cheeked-lovebird-agapornis-nigrigenis,ok,Agapornis nigrigenis,Black-cheeked Lovebird,
Agapornis personatus,yellow-collared-lovebird-agapornis-personatus,ok,Agapornis personatus,Yellow-collared Lovebird,
Agapornis pullarius,red-headed-lovebird-agapornis-pullarius,ok,Agapornis pullarius,Red-headed Lovebird,
Agapornis roseicollis,rosy-faced-lovebird-agapornis-roseicollis,ok,Agapornis roseicollis,Rosy-faced Lovebird,
Agapornis swindernianus,black-collared-lovebird-agapornis-swindernianus,ok,Agapornis swindernianus,Black-collared Lovebird,
Agapornis taranta,black-winged-lovebird-agapornis-taranta,ok,Agapornis taranta,Black-winged Lovebird,
Agelaius humeralis,tawny-shouldered-blackbird-agelaius-humeralis,ok,Agelaius humeralis,Tawny-shouldered Blackbird,
Agelaius phoeniceus,red-winged-blackbird-agelaius-phoeniceus,ok,Agelaius phoeniceus,Red-winged Blackbird,
Agelaius xanthomus,yellow-shouldered-blackbird-agelaius-xanthomus,ok,Agelaius xanthomus,Yellow-shouldered Blackbird,
Agelastes niger,black-guineafowl-agelastes-niger,ok,Agelastes niger,Black Guineafowl,
Agelasticus thilius,yellow-winged-blackbird-agelasticus-thilius,ok,Agelasticus thilius,Yellow-winged Blackbird,
Aglaeactis cupripennis,shining-sunbeam-aglaeactis-cupripennis,ok,Aglaeactis cupripennis,Shining Sunbeam,
Aglaiocercus coelestis,violet-tailed-sylph-aglaiocercus-coelestis,ok,Aglaiocercus coelestis,Violet-tailed Sylph,
Aglaiocercus kingi,long-tailed-sylph-aglaiocercus-kingii,ok,Aglaiocercus kingii,Long-tailed Sylph,
Agriornis micropterus,grey-bellied-shrike-tyrant-agriornis-micropterus,ok,Agriornis micropterus,Grey-bellied Shrike-tyrant,
Agriornis montanus,black-billed-shrike-tyrant-agriornis-montanus,ok,Agriornis montanus,Black-billed Shrike-tyrant,
Ailuroedus crassirostris,green-catbird-ailuroedus-crassirostris,ok,Ailuroedus crassirostris,Green Catbird,
Aimophila aestivalis,bachmans-sparrow-peucaea-aestivalis,ok,Peucaea aestivalis,Bachman's Sparrow,
Aimophila botterii,botteris-sparrow-peucaea-botterii,ok,Peucaea botterii,Botteri's Sparrow,
Aimophila carpalis,rufous-winged-sparrow-peucaea-carpalis,ok,Peucaea carpalis,Rufous-winged Sparrow,
Aimophila cassinii,cassins-sparrow-peucaea-cassinii,ok,Peucaea cassinii,Cassin's Sparrow,
Aimophila humeralis,black-chested-sparrow-peucaea-humeralis,ok,Peucaea humeralis,Black-chested Sparrow,
Aimophila mystacalis,bridled-sparrow-peucaea-mystacalis,ok,Peucaea mystacalis,Bridled Sparrow,
Aimophila notosticta,oaxaca-sparrow-aimophila-notosticta,ok,Aimophila notosticta,Oaxaca Sparrow,
Aimophila quinquestriata,five-striped-sparrow-amphispiza-quinquestriata,ok,Amphispiza quinquestriata,Five-striped Sparrow,
Aimophila rufescens,rusty-sparrow-aimophila-rufescens,ok,Aimophila rufescens,Rusty Sparrow,
Aimophila ruficauda,stripe-headed-sparrow-peucaea-ruficauda,ok,Peucaea ruficauda,Stripe-headed Sparrow,
Aimophila ruficeps,rufous-crowned-sparrow-aimophila-ruficeps,ok,Aimophila ruficeps,Rufous-crowned Sparrow,
Aimophila stolzmanni,tumbes-sparrow-rhynchospiza-stolzmanni,ok,Rhynchospiza stolzmanni,Tumbes Sparrow,
Aimophila strigiceps,stripe-capped-sparrow-rhynchospiza-strigiceps,ok,Rhynchospiza strigiceps,Stripe-capped Sparrow,
Aimophila sumichrasti,cinnamon-tailed-sparrow-peucaea-sumichrasti,ok,Peucaea sumichrasti,Cinnamon-tailed Sparrow,
Aix sponsa,wood-duck-aix-sponsa,ok,Aix sponsa,Wood Duck,
Alaemon alaudipes,greater-hoopoe-lark-alaemon-alaudipes,ok,Alaemon alaudipes,Greater Hoopoe-lark,
Alca torda,razorbill-alca-torda,ok,Alca torda,Razorbill,
Alcedo atthis,common-kingfisher-alcedo-atthis,ok,Alcedo atthis,Common Kingfisher,
Alcedo azurea,azure-kingfisher-ceyx-azureus,ok,Ceyx azureus,Azure Kingfisher,
Alcedo coerulescens,cerulean-kingfisher-alcedo-coerulescens,ok,Alcedo coerulescens,Cerulean Kingfisher,
Alcedo hercules,blyths-kingfisher-alcedo-hercules,ok,Alcedo hercules,Blyth's Kingfisher,
Alcedo leucogaster,white-bellied-kingfisher-corythornis-leucogaster,ok,Corythornis leucogaster,White-bellied Kingfisher,
Alcedo meninting,blue-eared-kingfisher-alcedo-meninting,ok,Alcedo meninting,Blue-eared Kingfisher,
Alcedo pusilla,little-kingfisher-ceyx-pusillus,ok,Ceyx pusillus,Little Kingfisher,
Alcedo quadribrachys,shining-blue-kingfisher-alcedo-quadribrachys,ok,Alcedo quadribrachys,Shining-blue Kingfisher,
Alcedo semitorquata,half-collared-kingfisher-alcedo-semitorquata,ok,Alcedo semitorquata,Half-collared Kingfisher,
Alcedo vintsioides,madagascar-kingfisher-corythornis-vintsioides,ok,Corythornis vintsioides,Madagascar Kingfisher,
Alcedo websteri,bismarck-kingfisher-ceyx-websteri,ok,Ceyx websteri,Bismarck Kingfisher,
Alcippe brunnea,dusky-fulvetta-schoeniparus-brunneus,ok,Schoeniparus brunneus,Dusky Fulvetta,
Alcippe brunneicauda,brown-fulvetta-alcippe-brunneicauda,ok,Alcippe brunneicauda,Brown Fulvetta,
Alcippe castaneceps,rufous-winged-fulvetta-schoeniparus-castaneceps,ok,Schoeniparus castaneceps,Rufous-winged Fulvetta,
Alcippe chrysotis,golden-breasted-fulvetta-lioparus-chrysotis,ok,Lioparus chrysotis,Golden-breasted Fulvetta,
Alcippe cinerea,yellow-throated-fulvetta-schoeniparus-cinereus,ok,Schoeniparus cinereus,Yellow-throated Fulvetta,
Alcippe cinereiceps,grey-hooded-fulvetta-fulvetta-cinereiceps,ok,Fulvetta cinereiceps,Grey-hooded Fulvetta,
Alcippe dubia,rusty-capped-fulvetta-schoeniparus-dubius,ok,Schoeniparus dubius,Rusty-capped Fulvetta,
Alcippe grotei,black-browed-fulvetta-alcippe-grotei,ok,Alcippe grotei,Black-browed Fulvetta,
Alcippe klossi,black-crowned-fulvetta-schoeniparus-klossi,ok,Schoeniparus klossi,Black-crowned Fulvetta,
Alcippe ludlowi,brown-throated-fulvetta-fulvetta-ludlowi,ok,Fulvetta ludlowi,Brown-throated Fulvetta,
Alcippe morrisonia,grey-cheeked-fulvetta-alcippe-morrisonia,ok,Alcippe morrisonia,Grey-cheeked Fulvetta,
Alcippe nipalensis,nepal-fulvetta-alcippe-nipalensis,ok,Alcippe nipalensis,Nepal Fulvetta,
Alcippe peracensis,mountain-fulvetta-alcippe-peracensis,ok,Alcippe peracensis,Mountain Fulvetta,
Alcippe poioicephala,brown-cheeked-fulvetta-alcippe-poioicephala,ok,Alcippe poioicephala,Brown-cheeked Fulvetta,
Alcippe pyrrhoptera,javan-fulvetta-alcippe-pyrrhoptera,ok,Alcippe pyrrhoptera,Javan Fulvetta,
Alcippe ruficapilla,spectacled-fulvetta-fulvetta-ruficapilla,ok,Fulvetta ruficapilla,Spectacled Fulvetta,
Alcippe rufogularis,rufous-throated-fulvetta-schoeniparus-rufogularis,ok,Schoeniparus rufogularis,Rufous-throated Fulvetta,
