eyres,BLI,Notes
Carduelis_flammea,Acanthis_flammea,
Accipiter_badius,Accipiter_badius,
Accipiter_brevipes,Accipiter_brevipes,
Accipiter_cirrocephalus,Accipiter_cirrocephalus,
Accipiter_cooperii,Accipiter_cooperii,
Accipiter_fasciatus,Accipiter_fasciatus,
Accipiter_gentilis,Accipiter_gentilis,
Accipiter_gularis,Accipiter_gularis,
Accipiter_nisus,Accipiter_nisus,
Accipiter_ovampensis,Accipiter_ovampensis,
Accipiter_soloensis,Accipiter_soloensis,
Accipiter_striatus,Accipiter_striatus,
Acrocephalus_agricola,Acrocephalus_agricola,
Acrocephalus_arundinaceus,Acrocephalus_arundinaceus,
Acrocephalus_australis,Acrocephalus_australis,
Acrocephalus_baeticatus,NA,BLI and HBW don't split this yet from A. scirpaceus
Acrocephalus_bistrigiceps,Acrocephalus_bistrigiceps,
Acrocephalus_concinens,Acrocephalus_concinens,
Acrocephalus_dumetorum,Acrocephalus_dumetorum,
Acrocephalus_griseldis,Acrocephalus_griseldis,
Acrocephalus_melanopogon,Acrocephalus_melanopogon,
Acrocephalus_orientalis,Acrocephalus_orientalis,
Acrocephalus_orinus,Acrocephalus_orinus,
Acrocephalus_paludicola,Acrocephalus_paludicola,
Acrocephalus_palustris,Acrocephalus_palustris,
Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,
Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,
Acrocephalus_sorghophilus,Acrocephalus_sorghophilus,
Acrocephalus_stentoreus,Acrocephalus_stentoreus,
Acrocephalus_tangorum,Acrocephalus_tangorum,
Actitis_hypoleucos,Actitis_hypoleucos,
Actitis_macularius,Actitis_macularius,
Actophilornis_africanus,Actophilornis_africanus,
Aechmophorus_clarkii,Aechmophorus_clarkii,
Aechmophorus_occidentalis,Aechmophorus_occidentalis,
Aegithalos_caudatus,Aegithalos_caudatus,
Aegolius_acadicus,Aegolius_acadicus,
Aegolius_funereus,Aegolius_funereus,
Aegypius_monachus,Aegypius_monachus,
Aerodramus_brevirostris,Aerodramus_brevirostris,
Aeronautes_saxatalis,Aeronautes_saxatalis,
Aethia_cristatella,Aethia_cristatella,
Aethia_psittacula,Aethia_psittacula,
Aethia_pusilla,Aethia_pusilla,
Aethia_pygmaea,Aethia_pygmaea,
Aethopyga_gouldiae,Aethopyga_gouldiae,
Aethopyga_saturata,Aethopyga_saturata,
Agapornis_pullarius,Agapornis_pullarius,
Agelaius_phoeniceus,Agelaius_phoeniceus,
Agelaius_tricolor,Agelaius_tricolor,
Agelasticus_thilius,Agelasticus_thilius,
Bradornis_pallidus,Agricola_pallidus,
Agriornis_micropterus,Agriornis_micropterus,
Agriornis_montanus,Agriornis_montanus,
Agriornis_murinus,Agriornis_murinus,
Agropsar_philippensis,Agropsar_philippensis,
Agropsar_sturninus,Agropsar_sturninus,
Aix_galericulata,Aix_galericulata,
Aix_sponsa,Aix_sponsa,
Alauda_arvensis,Alauda_arvensis,
Alauda_gulgula,Alauda_gulgula,
Melanocorypha_leucoptera,Alauda_leucoptera,
Alca_torda,Alca_torda,
Alcedo_atthis,Alcedo_atthis,
Alle_alle,Alle_alle,
Gallicolumba_jobiensis,Alopecoenas_jobiensis,
Alopochelidon_fucata,Alopochelidon_fucata,
Amadina_erythrocephala,Amadina_erythrocephala,
Aenigmatolimnas_marginalis,Amaurornis_marginalis,
